Measuring_Point,Date,Temperatur,TDS,TSS,NH3,Surfactant,Phenol,Phospate,BOD,COD,OG,NO3,DO,pH,Cl3,Fecal_Coliform,Total_Coliform,Debit,Class
1,X/05/2011,22,81,35,0.025,740,40,0.04,3.89,18.41,1000,1.12,7.04,7.79,0.01,24000,30000,5.01,4
1,X/06/2011,22.5,254,20,0.06,60,1,0.006,0.16,0.49,1000,0.17,6.72,7.13,0.01,80000,110000,3.67,4
1,X/07/2011,21.5,208,61,0.04,60,1,0.06,2.81,5.76,1000,1.76,5.77,6.77,0.01,160000,160000,4.21,4
1,X/09/2011,22,220,35,0.1,290,50,0.12,3.03,37.4,1000,1.21,6.2,7.72,0.01,24000,30000,2.28,4
1,X/10/2011,23.7,148,32,0.025,120,70,0.07,3.04,12.8,1000,1.36,8.8,6.96,0.01,50000,110000,7.28,4
1,X/06/2012,21.3,167,9,0.03,100,1,0.01,5.96,18.4,1000,15.4,6.6,7.38,0.01,110000,220000,1.81,4
1,X/07/2012,21,55,2,0.03,2330,2,0.04,11.9,22.6,1000,14.1,7.96,7.89,0.01,30000,50000,5.36,4
1,X/08/2012,22,166,5,0.4,70,1,0.04,3.34,29.9,1000,7.82,5.1,7.77,0.01,110000,110000,4.8,4
1,X/09/2012,23.2,132,5,0.03,70,1,0.05,11.4,30.7,1000,5.42,4.83,8.2,0.01,300000,300000,3.18,4
1,X/10/2012,21.7,132,28,0.03,70,1,0.38,14.5,45.5,10,11.7,3.75,7.85,0.01,130000,240000,0.8,4
1,X/04/2013,21.6,80.05,61,0.17,190,5,0.06,6,22.06,1000,1.58,6.93,6.1,0.05,1500,2100,1.98,4
1,X/05/2013,21.9,65.8,266,0.13,40,4.6,1.05,10,51.35,1000,1.4,6,8.18,0.1,12000,210000,84.75,4
1,X/07/2013,23.8,86.86,52,0.08,20,3.4,0.09,8,23.82,2000,39.4,7.48,8.35,0.01,4600,11000,14.64,4
1,X/09/2013,24.7,290.1,40,0.01,10,3.6,0.02,3.5,10.06,1000,3.44,5.97,8.2,0.05,460,1100,3.29,4
1,X/10/2013,23.9,82.9,18,0.01,15,3.5,0.14,3.5,8.54,2000,2.64,5.08,7.87,0.05,4300,93000,3.52,4
1,X/04/2014,23.1,160,260.6,0.79,100,20,0.17,4.22,28.28,4310,2.69,5.2,7.1,0.62,193,421,10,4
1,X/05/2014,21.8,160,402.67,0.71,10,14,0.08,10.71,43.17,6790,2,5.5,7.8,0.1,1100000,1100000,21.9,4
1,X/07/2014,23,212,69.43,0.01,80,100,0.05,15.34,45.15,1190,0.23,5.2,7.8,0.34,24000000,1100000000,2.9,1
1,X/09/2014,24.5,264,44.57,0.07,0,10,0,21.84,68.4,2410,0.37,5.1,8.1,0.12,210000,1100000,2.2,4
1,X/10/2014,25,156,42.37,0.05,10,4,0.11,2.17,7.46,1050,0.3,6.2,7.9,0.09,180000,1100000,2.8,4
1,X/08/2015,21.9,214.5,11.75,0.014,0.092,0.001,0.31,2,7.75,1,1.587,4.3,7.7,0.01,100,1000,1.69,4
1,X/09/2015,19.5,291,24.09,0.017,0.092,0.001,0.31,2.57,7.51,1,1.275,4.1,7.7,0.09,100,1000,0.89,4
1,X/10/2015,23.5,286.11,11.75,0.017,0.085,0.001,0.29,2,7.57,1,1.115,4.4,7.25,0.03,90,800,0.558,4
1,X/11/2015,20.21,225.5,11.75,0.011,0.098,0.001,0.21,2,7.57,1,1.689,4.1,7.1,0.01,100,1000,30.67,4
1,X/05/2016,29,66,157,0.01,11,1,0.04,9,30,200,1,3.88,7.34,0.01,13000,24000,13.5,4
1,X/07/2016,20,76,40,0.01,5,1,0.08,25,75,200,0.3,1.29,8.56,0.41,7900,11000,2.8,4
1,X/08/2016,29,248,44,0.02,24,1,0.2,12,46,200,0.1,6.68,6.82,0.15,13000,17000,9.65,4
1,X/09/2016,25,84,120,0.03,10,1,0.03,6,18,200,2,7.31,8.61,0.1,43000,58000,2.73,4
1,X/10/2016,25,70,102,0.01,10,1,0.03,5,16,200,4,7.31,6.96,0.12,46000,63000,5.22,4
1,X/05/2017,23,77,41,0.01,103,1,0.13,7.65,30.44,200,1,4,7.78,0.12,12000,15000,3.12,4
1,X/07/2017,24,88,21,0.01,10,1,0.03,5.77,17.46,200,0.3,6.76,8.32,0.08,22000,26000,1.13,4
1,X/08/2017,20,94,14,0.01,10,1,0.03,4.13,19.27,200,0.1,7.2,8.03,0.14,3500,5400,2.355,4
1,X/09/2017,26,94,20,0.01,20,1,0.04,5.19,20.02,200,0.3,5.7,8.46,0.22,13000,24000,2.1,4
1,X/10/2017,23,97,16,0.01,20,1,0.09,8.01,35.63,200,0.5,4,8.52,0.18,9200,16000,4,4
1,X/04/2018,22.8,97,11,0.056,3.1,1,0.043,3.3,6.1,100,1.08,6.11,7.57,0.044,17000,90000,13.5,4
1,X/05/2018,24.8,188,9,0.003,3.1,1,0.0043,3.61,10.3,500,2.47,6.33,7.54,0.037,22000,33000,5.9,4
1,X/07/2018,24.8,188,9,0.003,6.53,1,0.048,3.61,10.3,400,0.06,6.33,7.54,0.091,110000,170000,5.9,4
1,X/09/2018,25.2,162,7,0.061,3.1,1,0.0063,3.76,7.29,500,0.8,6.4,8.43,0.029,11000,17000,3.97,4
1,X/10/2018,22.6,160,7,0.033,3.1,1,0.0043,2.94,8.81,100,0.98,6.75,7.5,0.024,17000,30000,1.8,4
1,29/X/2019,23.4,182,20,1.1,0.042,15,0.19,3,12,1660,3.4,7.75,7.64,0.06,4300,4300,9.06,4
1,X/06/2019,24.7,120,31,1.1,0.1,0.053,0.15,2,7,0.35,1,1,8.64,0.09,12000,98000,3.1,4
1,X/08/2019,28.3,184,20,1.1,0.02,0.053,0.16,2,7,1,1,7.8,8.71,0.14,21300,98000,2.07,4
2,X/05/2011,29.5,315,61,0.34,130,4,0.07,5.51,41.36,1000,0.6,4.91,7.51,0.01,300000,500000,9.3,4
2,X/06/2011,26.5,614,52,0.025,120,1,0.12,16.16,78.96,1000,0.51,0.33,2.86,0.01,90000,160000,5.68,4
2,X/07/2011,26,518,82,0.51,200,1,0.26,70.1,231,1000,0.56,5.65,8.48,0.01,300000,300000,5.13,4
2,X/09/2011,29.5,1050,109,1.1,70,1,0.29,99.3,173,1000,1.86,3.2,9.05,0.01,500000,900000,1.48,4
2,X/10/2011,28,468,14,5.4,310,30,0.21,41.8,148,1000,1.98,3.17,7.86,0.01,1700000,3000000,4.32,4
2,X/06/2012,27,803,22,8.7,260,1,0.3,4.99,202,1000,79.1,4,9.69,0.01,3000000,5000000,3.33,4
2,X/07/2012,26.5,898,15,4.02,410,110,0.82,161,307,1000,18.2,1.02,9.5,0.01,1700000,1700000,6.46,4
2,X/08/2012,27,883,234,16.4,1200,20,0.15,41.1,221,1000,10.5,1.56,8.44,0.01,500000,900000,4.42,3
2,X/09/2012,30.1,1108,205,3.3,1530,110,0.24,113,346,1000,4.73,1.26,9.92,0.01,500000,1600000,5.58,4
2,X/10/2012,27.1,612,156,48,290,2,2.86,184,415,30,8.32,1.31,9.32,0.01,1100000,1300000,7.9,0
2,X/04/2013,22.4,56.05,53,0.18,150,5.8,0.05,6,20.01,3000,2.28,5.49,6.31,0.05,2100,2800000,12.48,4
2,X/05/2013,23.8,109.5,152,0.25,80,5.6,0.39,20,76.5,1000,1.62,8.8,7.85,0.09,460,1100,5.36,4
2,X/07/2013,24.7,187,101,0.28,20,5.8,0.35,10,41.23,1000,40.82,3.52,8.61,0.01,93000,1500000,17.87,4
2,X/09/2013,29.8,628.5,54,3.22,30,10,0.77,150,416,5000,40.07,2.05,9.04,0.02,200000,28000000,5.04,4
2,X/10/2013,26.5,221,90,0.27,210,15,0.23,18,54.6,2000,5.27,3.95,8.41,0.15,240000,460000000,6.7,4
2,X/04/2014,24,228,158.86,0.66,110,20,0.17,5.46,22.9,1260,2.57,5.9,7.5,1.07,2400,2400,19.1,3
2,X/05/2014,23.3,256,459,2.61,110,20,0.16,10.68,67.06,5450,1.37,5.6,7.2,0.03,31000,23000,9.4,4
2,X/07/2014,24.6,656,76,0.03,0.16,30,0.05,30.22,61.76,3670,0.08,2.9,8.3,0.08,930000,46000000,4.4,4
2,X/09/2014,28.5,1208,104.57,4.99,210,10,0,126.11,282.55,22120,0,0.6,9,0.12,210000,1100000,1,4
2,X/10/2014,27,1004,152.6,0,790,20,0.14,54.91,117.41,3110,1.13,1.6,8.3,0.24,1100000,1100000,3.11,4
2,X/08/2015,22.6,214.5,12.75,0.015,0.094,0.001,0.24,6.98,20.88,1,1.247,2.9,6.8,0.09,120,1300,5.608,4
2,X/09/2015,23.9,498,21.01,0.019,0.1,0.001,0.31,3.79,7.86,1,1.825,3.3,6.9,0.09,120,1000,0.75,4
2,X/10/2015,22.9,234,26.15,0.02,0.121,0.001,0.41,8.29,22.63,1,1.913,2.6,9.45,0.11,120,1000,0.875,4
2,X/11/2015,24.5,232.21,14.95,0.015,0.083,0.001,0.29,6.21,19.97,1,1.284,2.9,5.8,0.03,100,1000,5.54,4
2,X/05/2016,28,65,160,0.01,14,1,0.03,10,31,200,1,1.72,7.46,0.01,13000,24000,18,4
2,X/07/2016,26,112,53,0.05,10,1,0.07,18,68,200,0.2,1.46,8.33,0.51,12000,15000,13.91,4
2,X/08/2016,28,380,99,0.03,18,1,0.2,42,132,400,0.1,0.2,7.21,0.07,22000,28000,1.72,4
2,X/09/2016,24,124,103,0.1,10,1,0.03,14,43,200,0.7,2.92,8.53,0.43,49000,70000,13.61,4
2,X/10/2016,25,747,39,0.01,10,1,0.08,5,20,200,3,3.11,6.99,0.19,46000,70000,9.18,4
2,X/05/2017,25,236,89,0.06,160,1,0.1,18.04,56.65,200,0.1,1.3,7.7,0.07,28000,35000,3.1,4
2,X/07/2017,26,246,75,0.2,10,1,0.05,13,46.5,200,0.1,1.1,8.1,0.06,49000,79000,3.92,4
2,X/08/2017,28,601,405,0.4,330,1,0.46,106.85,304.94,5620,0.1,0.3,7.95,0.08,28000,35000,4.26,4
2,X/09/2017,28,558,210,0.6,370,1,0.03,39.28,118.43,2931,0.1,0.3,8.5,1,35000,43000,2,4
2,X/10/2017,26,368,85,0.2,220,1,0.21,19.26,64.9,3420,0.1,1.8,8.12,0.08,70000,94000,2,4
2,X/04/2018,24.7,132,13,0.28,78.7,1,0.011,5.31,12.5,100,1.85,6.2,7.69,0.049,28000,160000,12.5,4
2,X/05/2018,27,296,12,0.25,3.1,1,0.0043,9.15,26.8,700,2.9,2.18,7.64,0.046,170000,500000,9.94,4
2,X/07/2018,27,296,13,0.15,143,1,0.065,9.15,26.8,800,0.06,2.18,7.64,0.1,500000,900000,9.94,4
2,X/09/2018,25.3,556,14,0.34,232,1,0.1,13,42.8,500,0.59,1.3,7.47,0.08,90000,240000,4.13,4
2,X/10/2018,28.5,210,9,3.05,354,1,0.012,21,76.4,200,1.03,0.98,7.23,0.062,240000,900000,2.95,4
2,29/X/2019,23.1,250,131,1.1,0.106,11,0.16,3,7,1730,2.1,5.96,7.47,0.02,4300,9300,2.68,4
2,X/06/2019,28.5,714,52,3.4,0.04,0.036,0.22,23,77,0.35,0.8,1.4,7.62,0.04,487000,2909000,2.64,4
2,X/08/2019,29,1164,136,10.8,0.02,0.23,0.16,36,121,1.14,0.9,3.9,7.65,0.04,1340000,1800000,3.3,3
3,X/05/2011,27,307,45,0.28,140,3,0.06,6.15,86.36,1000,0.81,6.5,7.31,0.01,140000,700000,30.35,4
3,X/06/2011,25.5,334,15,0.06,200,1,0.05,9.57,83.7,1000,0.16,5.37,7.37,0.01,900000,1600000,17.06,4
3,X/07/2011,26.5,422,92,0.025,190,30,0.16,5.21,74.4,1000,0.36,5.77,6.85,0.01,16000000,16000000,17.64,3
3,X/09/2011,27,688,22,2.66,70,1,0.48,23.17,85.3,1000,1.73,3.1,7.08,0.01,1700000,2200000,8.21,4
3,X/10/2011,27.9,672,44,4.91,420,40,0.32,25.8,40.1,1000,1.81,4.52,7.28,0.01,2400000,5000000,8.55,4
3,X/06/2012,26.6,480,2,3.4,180,1,0.09,9.51,172,1000,71.1,2.18,8.61,0.01,900000,900000,10.2,4
3,X/07/2012,25,398,50,1.2,570,20,0.15,65,107,1000,2.87,1.91,7.87,0.01,2200000,5000000,11.76,4
3,X/08/2012,27,601,14,8.4,910,10,0.36,20,121,1000,16.3,1.31,8.02,0.01,3000000,3000000,7.56,4
3,X/09/2012,29.5,780,105,3.1,1520,30,0.41,81,210,1000,3.78,0.56,8.48,0.01,5000000,9000000,18.7,4
3,X/10/2012,28.1,614,48,51,370,1,0.24,57.3,157,50,6.15,0.96,8.05,0.01,3000000,5000000,6.41,0
3,X/04/2013,26.5,58.05,211,0.23,230,5.8,0.06,12,35.61,2500,1.85,3.55,6.48,0.01,93000,1500000,14.94,4
3,X/05/2013,25,143.5,161,0.22,50,4.5,0.07,36,125.58,1000,1.27,4.4,7.78,0.14,2900,24000,38.35,4
3,X/07/2013,25.6,202.5,57,0.39,45,4,0.12,15,43.02,1000,42.12,2.65,8.97,0.05,9300,1500000,99.33,4
3,X/09/2013,27.3,417.5,58,4.46,240,7.5,0.78,65,191.59,2000,12.64,2.9,7.8,0.03,150000,21000000,21.01,4
3,X/10/2013,27.5,231,58,0.59,140,18,0.8,40,113.5,5000,8.77,0.45,8.66,0.11,24000,460000000,20.53,4
3,X/04/2014,24.9,256,128.77,0.96,120,20,0.42,7.14,13.47,1390,1.55,4.2,7.1,0.83,460,460,127,4
3,X/05/2014,25.2,296,257.67,3.42,110,20,0.11,12.4,55.62,7860,1.51,3.3,7.1,0.04,460000,150000,77.3,4
3,X/07/2014,26.3,660,91.43,2.81,190,20,0.05,13.94,36.87,2880,0.23,3.1,7.6,0.73,15000000,110000000,25.3,2
3,X/09/2014,28.7,868,23.71,5.58,120,30,0.05,135.83,261.07,13910,0.02,0.2,8.5,0.58,1100000,1100000,8.6,3
3,X/08/2015,29.2,197.34,11.75,0.015,0.129,0.001,0.51,6.21,19.67,1,1.587,3.8,6.76,0.06,90,900,10.791,4
3,X/09/2015,27.6,436.1,43.65,0.019,0.134,0.001,0.43,7.112,20.32,1,1.765,3.1,6.56,0.08,130,1400,15.44,4
3,X/10/2015,25.7,221.15,11.75,0.017,0.129,0.001,0.41,5.24,19.89,1,1.765,3.1,5.56,0.09,100,1100,12.171,4
3,X/11/2015,27.5,205.2,11.75,0.015,0.108,0.001,0.46,6.27,21.63,1,1.671,2.9,5.9,0.02,80,1000,374.26,4
3,X/05/2016,28,125,148,0.01,31,1,0.04,14,47,200,0.5,1.94,7.2,0.01,7900,11000,220,4
3,X/07/2016,25,132,80,0.2,9,1,0.06,21,71,200,0.4,1.33,8.3,0.39,14000,17000,36.37,4
3,X/08/2016,26,83,27,0.01,9,1,0.1,10,33,200,0.3,6.68,7.05,0.15,7900,11000,2.29,4
3,X/09/2016,30,173,121,0.1,10,1,0.03,11,27,200,1,0.5,8.21,0.12,46000,63000,50.03,4
3,X/10/2016,28,835,45,0.02,20,1,0.1,6,21,200,0.8,0.73,7.26,0.48,46000,70000,44.28,4
3,X/05/2017,26,228,32,0.01,80,1,0.17,9.83,39.32,200,0.1,3.2,6.62,0.06,17000,21000,4.19,4
3,X/07/2017,27,276,74,0.4,10,1,0.07,12,53.8,200,0.1,0.3,7.68,0.13,63000,84000,18.35,4
3,X/08/2017,26,507,55,0.6,320,1,0.67,43.29,129.43,5370,0.2,0.5,8.11,0.06,22000,28000,5.66,4
3,X/09/2017,29,435,105,1,630,1,0.73,44.14,137.6,2470,0.1,0.3,8.47,0.8,22000,28000,7.4,4
3,X/10/2017,28,273,182,0.07,10,1,0.18,23.14,68.3,3180,0.1,1.8,7.59,0.05,70000,94000,35,4
3,X/04/2018,26.4,208,15,1.03,129,1,0.23,7.4,23.5,200,1.25,3.61,7.39,0.074,90000,240000,86.6,4
3,X/05/2018,27.9,346,27,0.45,3.1,1,0.083,12,45.7,800,3.05,1.45,7.82,0.05,280000,1100000,29.8,4
3,X/07/2018,27.9,346,27,0.48,148,27.7,0.16,12,45.7,900,0.087,1.45,7.82,0.19,500000,1600000,29.8,4
3,X/09/2018,27.1,627,19,3.16,714,1,0.33,42.4,106,1000,0.67,0.72,7.6,0.19,500000,1600000,11,4
3,X/10/2018,29,776,12,3.48,429,1,0.64,48.4,107,300,1.8,0.72,7.47,0.044,300000,900000,2.7,4
3,29/X/2019,26.1,242,97,1.1,0.059,69,0.17,5,28,1560,2.3,2.34,6.92,0.02,24000,43000,6.83,4
3,X/06/2019,26.1,292,36,4,0.02,0.034,0.16,18,37,0.35,1.3,1.2,6.92,0.04,75000,1198000,19.2,4
3,X/08/2019,24.6,386,30,18.3,0.02,0.186,0.21,25,58,1,1.1,1.5,7.39,0.02,1830000,16580000,4.2,3
4,X/05/2011,27.5,94,13,0.36,90,3,0.09,7.45,46.36,1000,1.1,5.09,7.33,0.01,170000,220000,34.66,4
4,X/06/2011,26,490,61,0.1,120,1,0.32,18.1,85.6,1000,0.31,4.11,7.65,0.01,2200000,2800000,18.78,4
4,X/07/2011,27,440,76,0.07,190,1,0.35,8.42,51.6,1000,0.41,4.3,7.46,0.01,2400000,3000000,5.13,4
4,X/09/2011,29,724,30,1.9,200,1,0.64,11.3,83.2,1000,1.67,3.5,6.74,0.01,240000,300000,10.3,4
4,X/10/2011,27.8,530,74,5.16,350,30,0.41,17.78,22.7,1000,1.51,4.5,7.46,0.01,17000,90000,25.3,4
4,X/06/2012,26.6,494,21,5.1,600,1,0.17,3.71,153,1000,94.7,4.32,8.51,0.01,470000,470000,17.25,4
4,X/07/2012,27,613,25,10.3,980,20,0.72,57,104,1000,19.7,1.63,7.99,0.01,3000000,3000000,23.2,3
4,X/08/2012,27,665,16,11.5,720,10,1.61,24.8,126,1000,17.5,1.22,7.81,0.01,3000000,3000000,10.6,3
4,X/09/2012,30.7,758,51,7.71,1790,100,1.12,73.1,209,1000,4.47,0.45,8.06,0.01,3000000,5000000,12.7,4
4,X/10/2012,22.5,594,43,56,320,1,0.56,49.4,136,10,6.87,1.27,7.98,0.01,24000000,30000000,20.3,0
4,X/04/2013,27.7,66.15,133,0.22,210,6.5,0.08,6,20.49,3000,1.86,6.36,6.04,0.01,3600,4400000,4.91,4
4,X/05/2013,25.3,153,208,0.58,40,6,0.11,56,176.31,1000,1.11,3.5,7.79,0.1,21000,29000,9.72,4
4,X/07/2013,26.2,211,63,0.63,60,6.5,0.27,8,40.92,2000,37.62,3.08,9.15,0.06,9300,150000,141.14,4
4,X/09/2013,29.6,405.5,34,4.58,170,6.5,0.62,60,175,2000,3.17,1.56,7.73,0.12,200000,270000000,81.6,4
4,X/10/2013,27.6,305,120,2.87,180,15,0.48,55,150.66,3000,10.05,0.33,7.29,0.18,4600000,110000000,44.36,4
4,X/04/2014,24.7,292,136.29,0.04,130,20,0.27,6.75,17.51,2060,1.9,3.1,7,1.22,460,460,132,3
4,X/05/2014,25.2,320,424,3.8,110,10,0.16,11.66,43.17,3030,1.37,2.5,6.9,0.02,210000,210000,80.1,4
4,X/07/2014,26.7,684,48.86,0.03,150,20,0.05,21.21,54.5,3540,5.41,1.3,7.6,0.51,9300000,9300000,11.4,3
4,X/09/2014,28.6,904,104.4,7.46,180,20,0.01,82.97,123.49,15820,0.02,0.2,8,0.87,1100000,1100000,6.9,3
4,X/10/2014,27,1240,67.56,10.35,960,20,0.16,31.89,77.3,3300,0,0.2,7.6,0.89,1100000,1100000,7,3
4,X/08/2015,25.8,304,47.75,0.065,0.128,0.001,0.49,6.59,20.32,1,2.178,3.6,6.21,0.14,80,900,12.774,4
4,X/09/2015,27.6,316,49.55,0.065,0.111,0.001,0.38,4.947,12.53,1,2.159,3.3,6.97,0.18,110,1200,6.05,4
4,X/10/2015,28.9,314,11.75,0.053,0.213,0.001,0.39,8.21,22.32,1,2.235,2.9,5.9,0.19,120,1200,1.67,4
4,X/11/2015,27.8,329.23,57.23,0.065,0.108,0.001,0.35,8.21,24.63,1,2.311,2.8,6.2,0.03,90,900,120.99,4
4,X/05/2016,27,124,178,0.01,20,1,0.02,15,47,200,0.8,2.19,7.26,0.01,13000,24000,33.6,4
4,X/07/2016,26,146,88,0.2,10,1,0.08,22,72,200,0.2,1.2,7.79,0.85,14000,17000,67.04,4
4,X/08/2016,28,319,47,0.02,11,1,0.4,15,58,200,0.1,0.2,6.84,0.03,17000,21000,11.7,4
4,X/09/2016,27,310,124,0.05,10,1,0.07,13,40,200,0.4,0.5,7.93,0.21,63000,84000,47.48,4
4,X/10/2016,28,180,54,0.03,10,1,0.03,9,33,200,0.6,0.2,7.57,0.31,63000,84000,40,4
4,X/05/2017,26,237,29,0.01,123,1,0.15,10.83,45.24,200,0.1,2.5,5.9,0.06,17000,22000,8.64,4
4,X/07/2017,26,227,252,0.2,10,1,0.3,23.81,67.3,8920,0.1,0.3,7.58,0.01,49000,70000,34.88,4
4,X/08/2017,28,549,60,0.8,780,1,0.38,40.13,121.89,3050,0.1,0.5,8.05,0.01,13000,24000,21.06,4
4,X/09/2017,28,403,144,0.2,20,1,0.89,40.13,123.97,2810,0.1,0.3,7.68,0.7,13000,24000,13.6,4
4,X/10/2017,27,270,68,0.09,10,1,0.3,13.11,43.27,200,0.1,2.8,7.63,0.06,63000,84000,27,4
4,X/04/2018,26.3,214,17,1.18,122,1,0.057,8.13,27.5,800,1.21,3.17,7.49,0.062,300000,500000,146,4
4,X/05/2018,28,698,29,1.76,110,1,0.046,20.9,89.1,900,3.12,1.72,8.01,0.058,900000,2400000,27.7,4
4,X/07/2018,28,698,29,0.49,153,29.7,0.27,20.9,89.1,900,0.087,1.72,8.01,0.19,900000,1600000,27.7,4
4,X/09/2018,30,928,37,4.16,1036,1,0.61,52.9,190,1200,1.11,0.3,7.45,3.75,900000,3000000,13.7,1
4,X/10/2018,30,806,14,6.12,810,1,0.92,55.3,157,200,2.89,0.5,7.37,0.92,300000,2400000,15.6,3
4,29/X/2019,25.5,248,171,1.1,0.02,52,0.17,5,28,330,2.6,1.6,6.91,0.08,24000,43000,5.39,4
4,X/06/2019,25.7,436,41,2.1,0.1,0.034,0.4,44,102,0.5,0.8,1,7.62,0.02,2909000,2909000,14.7,4
4,X/08/2019,24.1,390,36,19.5,0.03,0.034,0.23,32,81,1.51,1.6,1,7.36,0.02,7450000,17890000,4.68,2
